image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;37;30;26;37;32;37;
img_02;87;54;52;70;58;70;
img_03;47;37;34;45;42;45;
img_04;76;67;60;77;73;75;
img_05;99;48;40;81;58;86;
img_06;65;39;33;55;43;51;
img_07;114;54;44;97;61;95;
img_08;44;35;34;43;36;42;
img_09;79;54;50;74;57;73;
img_10;109;51;44;97;61;95;
img_11;55;43;37;55;46;55;
img_12;82;53;48;73;58;71;
img_13;73;64;56;74;75;73;
img_14;84;35;38;71;50;71;
img_15;71;44;40;56;49;55;
